first_name,last_name,job_title,dob,email,phone,salary,department_id
Richard,Morrison,Public relations account executive,1973-05-05,melissagarcia@example.org,(699)525-4827,512653,8
Bobby,Mccarthy,Barrister's clerk,1974-04-25,llara@example.net,(750)846-1602x7458,999836,7
Dennis,Norman,Land/geomatics surveyor,1990-06-24,jturner@example.net,873.820.0518x825,131900,10
John,Monroe,Retail buyer,1968-06-16,erik33@example.net,820-813-0557x624,485506,1
Michelle,Elliott,Air cabin crew,1975-03-31,tiffanyjohnston@example.net,(705)900-5337,604738,8
Ashley,Montoya,Cartographer,1976-01-16,patrickalexandra@example.org,211.440.5466,483339,6
Nathaniel,Smith,Quality manager,1985-06-28,lori44@example.net,936-403-3179,419644,7
Faith,Cummings,Industrial/product designer,1978-07-01,ygordon@example.org,(889)246-5588,205939,7
Margaret,Sutton,"Administrator, education",1975-08-16,diana44@example.net,001-647-530-5036x7523,671167,8
Mary,Sutton,Freight forwarder,1979-12-28,ryan36@example.com,422.562.7254x3159,993829,7
Jake,King,Lexicographer,1994-07-11,monica93@example.org,+1-535-652-9715x66854,702101,4
Heather,Haley,Music tutor,1981-06-01,stephanie65@example.net,(652)815-7973x298,570960,6
Thomas,Thomas,Chartered management accountant,2001-07-17,pwilliams@example.com,001-245-848-0028x5105,339441,6
Leonard,Carlson,Art therapist,1990-10-18,gabrielmurray@example.com,9247590563,469728,8
Mark,Wood,Market researcher,1963-10-13,nicholas76@example.com,311.439.1606x3342,582291,4
Tracey,Washington,Travel agency manager,1986-05-07,mark07@example.com,001-912-206-6456,146456,4
Rachael,Rodriguez,Media buyer,1966-12-02,griffinmary@example.org,+1-791-344-7586x548,544732,1
Tara,Liu,Financial adviser,1998-10-12,alexandraobrien@example.org,216.696.6061,399503,3
Ana,Joseph,Retail manager,1995-01-10,rmorse@example.org,(726)363-7526x9965,761988,10
Richard,Hall,"Engineer, civil (contracting)",1967-03-02,brandoncardenas@example.com,(964)451-9007x22496,660659,4
Katie,Harrison,"Therapist, horticultural",1980-12-07,johnathan37@example.com,477.843.7771x387,241050,10
Nathan,Brown,Museum/gallery conservator,1973-05-13,oestrada@example.com,481-583-8472x90801,204830,2
Jessica,Carter,Aeronautical engineer,1965-02-04,joann81@example.net,(635)709-6501,36651,6
Shannon,Powell,Education administrator,1993-04-12,richardmiles@example.com,874-789-2499,876534,7
John,Patterson,Interior and spatial designer,1963-12-19,lnorman@example.org,+1-725-485-6165,378648,4
Kendra,Berg,Land,1972-08-18,francisco75@example.org,+1-420-992-9266,519329,7
Christopher,Callahan,Exhibition designer,1966-10-23,qwalter@example.com,001-947-745-3939x74654,251057,1
Brenda,Smith,Textile designer,1973-11-28,john69@example.com,458-579-6924,61251,2
Kendra,Acevedo,Lawyer,1993-06-07,wrightconnor@example.com,234-806-4597x221,904651,6
Elizabeth,Swanson,Senior tax professional/tax inspector,1974-11-27,jamescoleman@example.org,238-885-1975x6854,958870,2
Brian,Lutz,Animal nutritionist,1992-01-20,david46@example.org,448-396-0116x086,470623,10
Robert,Jordan,"Producer, television/film/video",1986-06-01,juliehart@example.org,(938)304-6734x490,538902,6
Jasmine,Miller,Sport and exercise psychologist,1983-12-04,grantjohn@example.org,207-526-0528x189,620676,8
Joan,Nichols,Engineering geologist,1997-09-19,greg13@example.net,+1-248-595-7144x20713,941428,7
